#K short	G0205
#scanned warm
Wavelength (nm)	%T
1471	0.010019
1472	0.015901
1473	0.011672
1474	0.01241
1475	0.013377
1476	0.013269
1477	0.01109
1478	0.011326
1479	0.01445
1480	0.012473
1481	0.0053691
1482	0.012108
1483	0.014855
1484	0.012855
1485	0.011617
1486	0.015367
1487	0.012045
1488	0.0095363
1489	0.014948
1490	0.0070153
1491	0.010391
1492	0.011166
1493	0.016227
1494	0.013181
1495	0.0096554
1496	0.0093929
1497	0.011577
1498	0.010806
1499	0.012406
1500	0.015466
1501	0.011355
1502	0.015106
1503	0.016691
1504	0.010369
1505	0.010801
1506	0.012471
1507	0.017823
1508	0.01004
1509	0.014489
1510	0.0095714
1511	0.0087713
1512	0.010839
1513	0.0079013
1514	0.015328
1515	0.011675
1516	0.016191
1517	0.012471
1518	0.011638
1519	0.012967
1520	0.011917
1521	0.0097114
1522	0.0159
1523	0.0078695
1524	0.0082125
1525	0.0090788
1526	0.012466
1527	0.012556
1528	0.011628
1529	0.013352
1530	0.013184
1531	0.011684
1532	0.010417
1533	0.017149
1534	0.011995
1535	0.013347
1536	0.011647
1537	0.012444
1538	0.0078965
1539	0.012061
1540	0.01375
1541	0.0079054
1542	0.013327
1543	0.0096108
1544	0.015855
1545	0.011257
1546	0.010785
1547	0.008667
1548	0.016641
1549	0.012496
1550	0.0095651
1551	0.015291
1552	0.012873
1553	0.015426
1554	0.014652
1555	0.013247
1556	0.010702
1557	0.010492
1558	0.012435
1559	0.015043
1560	0.011271
1561	0.017951
1562	0.0078667
1563	0.0087995
1564	0.017501
1565	0.014145
1566	0.016255
1567	0.013746
1568	0.009187
1569	0.014579
1570	0.01225
1571	0.012505
1572	0.007222
1573	0.012121
1574	0.015412
1575	0.014699
1576	0.012876
1577	0.020127
1578	0.013242
1579	0.019545
1580	0.010912
1581	0.013318
1582	0.013786
1583	0.011275
1584	0.016215
1585	0.011197
1586	0.013352
1587	0.013387
1588	0.011248
1589	0.011705
1590	0.0086184
1591	0.0095721
1592	0.011722
1593	0.012807
1594	0.014945
1595	0.014029
1596	0.0096895
1597	0.014184
1598	0.011168
1599	0.016435
1600	0.012228
1601	0.01043
1602	0.0079143
1603	0.016334
1604	0.01325
1605	0.013406
1606	0.016217
1607	0.010084
1608	0.018356
1609	0.012117
1610	0.010392
1611	0.019649
1612	0.010451
1613	0.0096037
1614	0.011657
1615	0.014144
1616	0.0086671
1617	0.01481
1618	0.014262
1619	0.014571
1620	0.013358
1621	0.011094
1622	0.010403
1623	0.011276
1624	0.01668
1625	0.012363
1626	0.013916
1627	0.017018
1628	0.012879
1629	0.014246
1630	0.010037
1631	0.018266
1632	0.013329
1633	0.011277
